	EffectSize
H1F0	1.3486
CMPK2	1.6355
SIGLEC1	2.2115
IFITM3	1.9412
LCN2	0.9892
CEACAM8	0.8246
OASL	1.8762
C1QC	1.2423
BPI	1.1252
IFITM1	1.9491
GYG1	2.0489
SAT1	1.6258
MICU1	0.8111
ADM	1.123
DEFA4	0.8557
ANXA3	1.355
PRC1	1.5132
CAMP	1.0376
MYL12A	1.303
CREG1	1.0399
AZU1	0.7511
LGALS1	1.3772
SPPL2A	1.6797
CMTM5	0.6036
TLR2	0.8849
ACSL1	0.4296
SUCNR1	0.9266
FAM20A	0.6882
NFIL3	0.8133
PLIN3	0.7634
MAFB	0.9987
IFITM2	0.8678
CEP55	1.2984
GSTO1	1.3336
BAMBI	0.9024
FUT4	0.8837
CTSG	0.6719
PIWIL4	1.2957
MAP1LC3B	0.5234
DOK3	1.1293
TSG101	0.6482
CTSA	0.4459
GRN	0.9209
SCO2	1.9408
C10orf10	0.7849
UBALD2	0.5987
SLC39A11	0.8725
ARF4	1.0068
ATP8B4	1.0623
GNA15	0.8744
CHMP5	1.4329
ETF1	0.2806
IGFBP2	0.445
NAPG	0.6187
FOXM1	0.9028
FURIN	0.4058
MCU	0.8525
NAPA	0.8883
POMP	1.4816
APOBEC3A	0.7761
INTS12	0.8733
BCL6	0.6377
TMEM123	0.7533
ACP2	0.5877
CDT1	1.1988
AQP9	0.5482
DNTTIP1	0.5206
LOXL3	0.4964
KLHL2	0.3601
VSTM1	0.5206
GPER	0.6469
OLR1	0.6267
DNAJA1	0.8365
SRGN	0.9055
BCL3	0.5832
RILPL2	0.7681
TRIP13	0.8733
BCL2A1	0.684
ELL2	1.1972
GRINA	0.4039
KIF15	0.9449
ZC3H12A	0.8636
ZNF410	0.8705
TLR1	0.0569
PLK1	0.3364
SRP19	1.0092
TXN	1.2183
GADD45G	0.9741
CHSY1	0.7106
HDAC4	0.1882
HJURP	1.1844
ORM1	0.2011
LAPTM4A	0.5859
EIF1B	0.5577
PAQR4	1.023
PEF1	0.7646
HMMR	1.3348
H2AFZ	0.7149
DPH3	1.3095
SLPI	1.0382
NQO2	0.4323
WDR26	0.1498
GPCPD1	0.5565
ORM2	0.4214
FAM8A1	0.5258
RAD23B	0.1095
CLIC1	1.4328
CES1	0.5422
SOCS3	0.6879
UBE2L6	0.9963
GLA	0.6765
KIF2C	1.2337
GDE1	0.457
IFI30	1.0153
MMD	0.167
SDE2	0.1727
RAP2C	0.7744
NUCB1	0.7508
ARL8B	0.5
SIRPA	0.2952
PSMD1	0.6182
VAMP5	1.1721
CCL2	0.7629
BIRC5	0.5669
ANXA2	0.7259
ATG3	0.8928
WBP5	0.2799
LARP1	0.4279
ORC6	-0.0627
CHMP2B	0.7209
VRK2	1.2091
SDHB	0.8407
MIER1	0.7204
CASP7	0.7126
IDI1	0.7752
PFKFB4	0.2164
YWHAE	0.5599
SOCS6	-0.1131
ATP6V1E1	0.6045
VAMP3	0.6337
CENPN	0.771
KIF23	0.729
BCL2L11	0.7101
SYAP1	-0.2519
EVI2B	0.174
RAB5C	0.3424
CCNYL1	0.3151
EXOC6	0.4689
SCAND1	0.7338
BCAT1	0.3576
GNAQ	-0.2111
SUB1	0.5096
TLN1	0.0748
PICALM	0.1422
BAG4	0.2898
SPTLC1	0.3547
DEDD	0.5084
SOD2	0.1602
CPEB2	0.5763
QKI	0.3846
SAR1B	0.8348
ZMYM6	-0.0828
FXR1	-0.1566
SDF4	0.0642
OGFOD1	-0.1006
HS2ST1	-0.1489
NBPF3	-0.1028
DDX19A	-0.1318
RBM25	-0.3003
KRIT1	-0.2763
RRN3P1	-0.4566
DLEC1	-0.3429
RABL2A	-0.6533
IKZF1	-0.4631
CEP85L	-0.7099
C16orf52	-0.2814
CNOT6L	-0.142
VPS13A	-0.2778
KLHL24	-0.7336
PRKDC	-0.7766
ALKBH1	0.1225
IL21R	-0.2893
BTBD7	-0.2717
ST3GAL1	-0.3537
RNF219	-0.0109
WBSCR16	-0.0723
UPF3A	-0.5565
ZNF436	0.002
PIGN	-0.1539
NFATC2IP	-0.3722
PPAPDC1B	-0.0986
EXOC2	-0.2289
TRAF5	-0.5011
NCOA3	0.1318
PRKD3	-0.1434
TBRG4	0.0948
COIL	-0.1654
STIM2	-0.6971
RASSF5	-0.4367
SHQ1	0.1178
AHSA2	0.0371
CBFA2T2	-0.4288
ZNF398	-0.543
TDRKH	-0.2066
TAF1	-0.2326
AKT3	-0.2483
NBAS	-0.33
IGIP	-0.9296
MFSD6	-0.1474
DPH2	-0.1893
SDAD1	-0.1444
ATMIN	-0.423
USP21	-0.2777
SRPK2	-0.8019
METTL13	-0.0017
USP53	-0.2036
ZMYND11	-0.3506
KLHL13	0.0145
TP53I13	0.1144
TUBD1	-0.0559
GIMAP1	-1.2419
PDE3B	-0.6914
INTS10	-0.3388
RALGDS	-0.3927
ERP29	0.0209
LUC7L	-0.6597
ERCC6	-0.1345
MAF	-0.4902
NIPA1	-0.6978
METTL8	-0.6512
EEF1D	-0.2855
PREPL	-0.3744
AZI1	-0.3851
APH1A	0.0803
ZNF280B	-0.5405
DDB1	-0.4563
DCUN1D4	-0.3513
EIF2B4	-0.159
SEC24C	-0.5503
LRBA	-0.5693
ZNF548	-0.4929
EFHC1	-0.4661
ANKRD20A11P	-0.6971
SRSF1	-0.3164
EZH1	-0.6552
METTL3	-0.2689
PRPSAP1	-0.1731
AKTIP	-0.2811
RANGAP1	-0.2493
ARMCX2	0.0482
ANAPC2	0.0338
CYP2U1	-0.3338
TFCP2	-0.087
USP31	0.2782
KRT73	-0.7163
PRKAB2	0.1723
SLC25A45	-0.1121
TPR	-0.358
BUB3	-0.4931
NPIPL2	-0.4225
ZNF404	-0.2237
IKZF3	0.1771
IKBKB	-0.704
CDK13	-0.7397
BANF1	-0.1741
NSUN5P2	-0.5218
KLHDC3	-0.3185
KDM1A	-0.3507
ZNF623	-0.6302
ENO3	-0.4712
PIGP	-0.0891
TRIB2	-0.5641
PIK3R1	-0.2806
DOK2	-0.2877
PSKH1	-0.162
ZNF30	-0.8585
MAP3K4	-0.6433
INTS3	-0.0107
DNASE1L3	-0.4153
OARD1	0.0018
MKS1	0.0373
ZMYND19	0.2652
EXT2	-0.1552
PUF60	-0.5248
ZNF720	-0.224
EPRS	-0.2917
TRMU	-0.0948
GCN1L1	-0.6189
AACS	-0.5765
CIITA	-0.3414
MLEC	-0.0388
LTBP3	-0.4042
SMYD2	-0.5271
KLRD1	-0.4258
TMEM147	0.5052
TULP3	-0.3981
VGLL4	-0.6765
IL7R	-0.8849
MAP3K12	-0.4241
ZFP3	-0.7763
PARP1	-0.3569
BRD8	-0.7278
STAG3L1	-0.4713
ERCC3	-0.1306
TMEM63A	-0.4279
CYTH1	-0.4819
PAOX	0.0415
LYRM7	-0.6018
SH2B1	-0.4024
MAN2B1	-0.3451
ZNF335	-0.1446
GLG1	-0.4715
ZNF823	-0.4691
PRMT2	-0.268
PALLD	-0.5677
CACNA2D2	-0.5487
CDHR3	-1.159
TRAF3IP3	-0.6114
SIPA1	-0.3029
SUPT16H	-0.0727
TRPS1	-0.031
PILRB	-0.3265
CEP68	-0.8568
PTPN4	-0.4599
CAPN12	-0.0035
FAM58A	-0.2209
STK11IP	-0.5075
EMC1	-0.2177
TMEM181	-0.5802
STAG3L2	-0.1174
CD180	-0.2413
RBM15B	-0.316
ZHX2	-0.7211
USP11	-1.0031
FCRL2	-0.6247
C3orf18	-0.2937
ANKZF1	-0.6794
KLRG1	-0.8537
CD27	-0.8525
TRIM28	-0.3711
MS4A2	-0.2739
RASA3	-0.7083
CCR7	-0.8799
C12orf45	-0.0801
HMHA1	-0.8603
MC1R	-0.4285
CSNK2A2	-0.7385
ZMAT3	-0.9507
GOLGA8B	-0.5402
PITPNC1	-1.0331
NAPSB	-0.2213
SSR2	-0.0723
PRF1	-0.4389
LAMA5	-0.0021
BACE2	-0.3644
DGKQ	-0.1473
SFI1	-0.5373
PAQR8	-1.1604
ZNF767	-0.8716
HDAC1	-0.7262
PAN2	-0.8419
TBC1D14	-0.4499
PEX11B	-0.5519
RAB40B	-0.5432
ZNF419	-0.6192
FBLN5	-0.823
SIDT1	-0.6508
Mar-09	-0.8385
NIPAL3	-0.6202
ZCWPW1	-0.5624
TYK2	-0.7727
EPHX2	-0.6957
ATP6V0E2-AS1	-0.9037
SLC46A3	-0.3514
TMEM18	-0.7665
CHMP7	-0.7999
WDR6	-0.7667
TSHZ1	-1.0933
UST	-0.6553
CD248	-0.6516
MMS19	-0.9795
C21orf33	-0.3185
CLDND2	-0.1812
RAB11FIP3	-0.6327
ITGB7	-0.267
PRSS23	-0.8098
CYB561A3	-0.9271
COQ10A	-0.9167
CRYGS	-0.3693
CLC	-0.4063
FCRLA	-0.7777
ANXA2R	-1.0337
HLA-DPB1	-0.7566
YPEL1	-1.2659
KLRB1	-1.321
PABPC4	-1.2181
